trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Used_image_1,Used_image_2,Used_image_3,Used_image_4,Used_image_5,Used_image_6,Used_image_7,Used_image_8,Unused_image_1,Unused_image_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,welcome.started,welcome.stopped,pointer_dot_0.started,pointer_dot_0.stopped,pointer_dot_1.started,pointer_dot_1.stopped,pointer_dot_2.started,pointer_dot_2.stopped,SD_image.started,SD_image.stopped,memDisplayOnTimePractice,mem_image_0_practice,mem_image_1_practice,mem_image_2_practice,mem_image_3_practice,mem_image_4_practice,mem_image_5_practice,mem_image_6_practice,mem_image_7_practice,retention_interval_practice,retro_0_post_1_practice,change_or_no_practice,cue_location_practice,mem_display_to_test_array_duration_s,mem_display_to_cue_duration_s,routine_duration_s,array_image_1f.started,array_image_1f.stopped,array_image_2f.started,array_image_2f.stopped,array_image_3f.started,array_image_3f.stopped,array_image_4f.started,array_image_4f.stopped,array_image_5f.started,array_image_5f.stopped,array_image_6f.started,array_image_6f.stopped,array_image_7f.started,array_image_7f.stopped,array_image_8f.started,array_image_8f.stopped,pointer_dot_0b.started,pointer_dot_0b.stopped,pointer_dot_1b.started,pointer_dot_1b.stopped,pointer_dot_2b.started,pointer_dot_2b.stopped,sd_practice_resp.keys,sd_practice_resp.rt,sd_practice_resp.started,sd_practice_resp.stopped,text_10.started,text_10.stopped,conf_practice_resp.keys,conf_practice_resp.rt,conf_practice_resp.started,conf_practice_resp.stopped,image.started,image.stopped,training_trial_index,memDisplayOnTimeTraining,mem_image_0_training,mem_image_1_training,mem_image_2_training,mem_image_3_training,mem_image_4_training,mem_image_5_training,mem_image_6_training,mem_image_7_training,retro_0_post_1_training,change_or_no_training,cue_location_training,array_image_1l.started,array_image_1l.stopped,test_image_0_training,test_image_1_training,test_image_2_training,test_image_3_training,test_image_4_training,test_image_5_training,test_image_6_training,test_image_7_training,consecutive_correct_retro_short,array_image_1m.started,array_image_1m.stopped,array_image_2m.started,array_image_2m.stopped,array_image_3m.started,array_image_3m.stopped,array_image_4m.started,array_image_4m.stopped,array_image_5m.started,array_image_5m.stopped,array_image_6m.started,array_image_6m.stopped,array_image_7m.started,array_image_7m.stopped,array_image_8m.started,array_image_8m.stopped,pointer_dot_0d.started,pointer_dot_0d.stopped,pointer_dot_1d.started,pointer_dot_1d.stopped,pointer_dot_2d.started,pointer_dot_2d.stopped,reminder_training.started,reminder_training.stopped,sd_training_resp.keys,sd_training_resp.rt,sd_training_resp.started,sd_training_resp.stopped,text_15.started,text_15.stopped,conf_training_resp.keys,conf_training_resp.rt,conf_training_resp.started,conf_training_resp.stopped,text.started,text.stopped,short_interval_training_finished,training_trial_index_long_this_block,correct_retro_long_this_block,retro_trials_long_this_block,long_interval_block_finished,long_block_retro_acc,reached_criterion,run_out_of_trials,participant,mapping,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,13.472567983997578,None,93.37572599899795,None,93.37572599899795,None,93.37572599899795,None,132.70742826799687,None,206.10927228199944,2,7,1,6,4,8,0,5,1.6,1,1,2,1.5,1.6,2.1,221.72697628399692,None,221.72697628399692,None,221.72697628399692,None,221.72697628399692,None,221.72697628399692,None,221.72697628399692,None,221.72697628399692,None,221.72697628399692,None,221.82014745299966,222.32681587600018,221.82014745299966,222.32681587600018,221.82014745299966,222.32681587600018,down,5.49112493100256,221.82014745299966,None,227.35150329599855,None,c,19.007812239000486,227.35150329599855,None,227.35150329599855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,251.94113686999845,1,7,4,5,0,6,2,8,1.6,1,0,2,1.5,1.6,2.1,267.5363941109972,None,267.5363941109972,None,267.5363941109972,None,267.5363941109972,None,267.5363941109972,None,267.5363941109972,None,267.5363941109972,None,267.5363941109972,None,267.62950560899844,268.13614335199964,267.62950560899844,268.13614335199964,267.62950560899844,268.13614335199964,left,2.3697715170019364,267.62950560899844,None,270.02873481299684,None,x,3.9545467399984773,270.02873481299684,None,270.02873481299684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,265.7987370009978,2,8,3,6,4,9,1,5,1.6,0,1,6,2.9000000000000004,1.6,2.9000000000000004,282.7706003259991,None,282.7706003259991,None,282.7706003259991,None,282.7706003259991,None,282.7706003259991,None,282.7706003259991,None,282.7706003259991,None,282.7706003259991,None,281.4644273119993,281.9708632119982,281.4644273119993,281.9708632119982,281.4644273119993,281.9708632119982,down,1.7086604269970849,282.7706003259991,None,284.50327906299935,None,z,2.4560459429994808,284.50327906299935,None,284.50327906299935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,277.541906309998,0,9,3,8,4,5,1,7,1.6,1,1,6,1.5,1.6,2.1,293.0999753279975,None,293.0999753279975,None,293.0999753279975,None,293.0999753279975,None,293.0999753279975,None,293.0999753279975,None,293.0999753279975,None,293.0999753279975,None,293.2066394689973,293.71309616599683,293.2066394689973,293.71309616599683,293.2066394689973,293.71309616599683,down,1.7605325059994357,293.2066394689973,None,294.9925765959997,None,z,0.9906922689988278,294.9925765959997,None,294.9925765959997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,286.70049526100047,4,5,3,6,0,8,1,7,1.6,1,0,0,1.5,1.6,2.1,302.2831716869987,None,302.2831716869987,None,302.2831716869987,None,302.2831716869987,None,302.2831716869987,None,302.2831716869987,None,302.2831716869987,None,302.2831716869987,None,302.38983064999775,302.8961937159984,302.38983064999775,302.8961937159984,302.38983064999775,302.8961937159984,left,1.1934472079992702,302.38983064999775,None,303.6027385919988,None,z,0.780575119999412,303.6027385919988,None,303.6027385919988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,293.4846825429995,4,5,1,7,3,6,0,8,1.6,0,1,1,2.9000000000000004,1.6,2.9000000000000004,310.4800742269981,None,310.4800742269981,None,310.4800742269981,None,310.4800742269981,None,310.4800742269981,None,310.4800742269981,None,310.4800742269981,None,310.4800742269981,None,309.17394515900014,309.68033045399716,309.17394515900014,309.68033045399716,309.17394515900014,309.68033045399716,down,2.8390897549979854,310.4800742269981,None,313.345635423997,None,x,0.7816479799985245,313.345635423997,None,313.345635423997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,303.64997172199946,3,8,0,7,4,5,2,9,1.6,0,0,6,2.9000000000000004,1.6,2.9000000000000004,320.609573144,None,320.609573144,None,320.609573144,None,320.609573144,None,320.609573144,None,320.609573144,None,320.609573144,None,320.609573144,None,319.31675273200017,319.8231843629983,319.31675273200017,319.8231843629983,319.31675273200017,319.8231843629983,left,1.0296847320023517,320.609573144,None,321.6624870689993,None,z,0.5927864189980028,321.6624870689993,None,321.6624870689993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,455.7378773880009,0,6,3,5,2,8,4,7,0,0,7,469.24654492699847,None,0,6,3,5,2,8,4,7,1,471.8722982829968,None,471.8722982829968,None,471.8722982829968,None,471.8722982829968,None,471.8722982829968,None,471.8722982829968,None,471.8722982829968,None,471.8722982829968,None,470.5661216139997,471.0724996479985,470.5661216139997,471.0724996479985,470.5661216139997,471.0724996479985,None,None,left,2.8388693720007723,471.8722982829968,None,None,None,z,2.946774263000407,474.76447290099895,None,477.73668358099894,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,464.81042750599954,1,7,2,8,3,6,0,9,1,0,5,478.3231115869967,None,1,7,2,8,3,6,0,9,1,479.54934729399974,None,479.54934729399974,None,479.54934729399974,None,479.54934729399974,None,479.54934729399974,None,479.54934729399974,None,479.54934729399974,None,479.54934729399974,None,479.65598771499936,480.16242448199773,479.65598771499936,480.16242448199773,479.65598771499936,480.16242448199773,None,None,left,1.9192512250010623,479.65598771499936,None,None,None,z,0.91996675900009,481.61522464299924,None,482.56149910599925,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,469.6337415199996,0,8,4,6,3,5,1,9,0,0,3,483.1479316849982,None,0,8,4,6,3,5,1,9,2,485.77368002599906,None,485.77368002599906,None,485.77368002599906,None,485.77368002599906,None,485.77368002599906,None,485.77368002599906,None,485.77368002599906,None,485.77368002599906,None,484.46747126399714,484.9739805749996,484.46747126399714,484.9739805749996,484.46747126399714,484.9739805749996,None,None,left,0.9054905529992539,485.77368002599906,None,None,None,z,0.8312698000008822,486.7200022629986,None,487.57295618900025,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,474.64610742999866,4,7,3,6,1,9,0,5,1,1,7,488.15947675699863,None,4,7,3,6,1,9,0,2,2,489.3856305409972,None,489.3856305409972,None,489.3856305409972,None,489.3856305409972,None,489.3856305409972,None,489.3856305409972,None,489.3856305409972,None,489.3856305409972,None,489.478781343998,489.985412946,489.478781343998,489.985412946,489.478781343998,489.985412946,None,None,left,2.192496325002139,489.478781343998,None,None,None,x,0.705191263998131,491.7180925609973,None,492.43777448299807,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,479.50958691900087,2,6,0,5,3,9,4,7,0,0,5,493.0242574219992,None,2,6,0,5,3,9,4,7,3,495.64995419299885,None,495.64995419299885,None,495.64995419299885,None,495.64995419299885,None,495.64995419299885,None,495.64995419299885,None,495.64995419299885,None,495.64995419299885,None,494.3437468719967,494.8502066009969,494.3437468719967,494.8502066009969,494.3437468719967,494.8502066009969,None,None,left,0.7253242209990276,495.64995419299885,None,None,None,z,0.5283220059973246,496.4229898119993,None,496.9693756429988,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,484.0417468819978,3,9,2,6,1,5,4,7,1,1,1,497.5558779159983,None,3,0,2,6,1,5,4,7,3,498.7820334459975,None,498.7820334459975,None,498.7820334459975,None,498.7820334459975,None,498.7820334459975,None,498.7820334459975,None,498.7820334459975,None,498.7820334459975,None,498.87541155899817,499.3818207029981,498.87541155899817,499.3818207029981,498.87541155899817,499.3818207029981,None,None,down,1.923854406002647,498.87541155899817,None,None,None,x,0.847360708998167,500.84792533200016,None,501.71421636599916,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,488.7878924809993,1,9,4,5,3,7,0,6,0,1,1,502.3007497519975,None,1,2,4,5,3,7,0,6,4,504.9263947929976,None,504.9263947929976,None,504.9263947929976,None,504.9263947929976,None,504.9263947929976,None,504.9263947929976,None,504.9263947929976,None,504.9263947929976,None,503.63354172899926,504.1400439659992,503.63354172899926,504.1400439659992,503.63354172899926,504.1400439659992,None,None,down,1.4007688429992413,504.9263947929976,None,None,None,z,1.2201367160014343,506.37914984399686,None,507.61859262899816,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,494.68899863099796,0,9,3,8,2,6,4,5,1,1,6,508.191824538997,None,0,9,3,8,2,6,1,5,4,509.40468806399804,None,509.40468806399804,None,509.40468806399804,None,509.40468806399804,None,509.40468806399804,None,509.40468806399804,None,509.40468806399804,None,509.40468806399804,None,509.511326980999,510.01779165199696,509.511326980999,510.01779165199696,509.511326980999,510.01779165199696,None,None,left,1.1119372379980632,509.511326980999,None,None,None,x,0.8163636340032099,510.67090852899855,None,511.5105601329997,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,498.5843598329993,1,5,3,6,0,7,4,9,1,0,0,512.0970573809973,None,1,5,3,6,0,7,4,9,4,513.3232549610002,None,513.3232549610002,None,513.3232549610002,None,513.3232549610002,None,513.3232549610002,None,513.3232549610002,None,513.3232549610002,None,513.3232549610002,None,513.4164986719989,513.922956440998,513.4164986719989,513.922956440998,513.4164986719989,513.922956440998,None,None,left,2.21477709499959,513.4164986719989,None,None,None,x,0.6369892479997361,515.6822960809986,None,516.3353896469998,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,503.40804164699875,4,6,0,9,3,8,2,7,1,1,5,516.9218907309987,None,4,6,0,9,3,1,2,7,4,518.148047118997,None,518.148047118997,None,518.148047118997,None,518.148047118997,None,518.148047118997,None,518.148047118997,None,518.148047118997,None,518.148047118997,None,518.2546733229974,518.7611548249988,518.2546733229974,518.7611548249988,518.2546733229974,518.7611548249988,None,None,down,1.6885710429996834,518.2546733229974,None,None,None,x,0.45988961799957906,519.987398453999,None,520.4671610829973,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,507.54056919199866,2,6,1,8,3,9,0,7,0,1,1,521.0535978549997,None,2,4,1,8,3,9,0,7,5,523.6659411239998,None,523.6659411239998,None,523.6659411239998,None,523.6659411239998,None,523.6659411239998,None,523.6659411239998,None,523.6659411239998,None,523.6659411239998,None,522.3731589929994,522.8796000799994,522.3731589929994,522.8796000799994,522.3731589929994,522.8796000799994,None,None,down,1.2532281290004903,523.6659411239998,None,None,None,z,0.3151680340015446,524.9721176549974,None,525.3053212689993,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,512.3776227630005,3,9,1,5,4,7,2,6,1,0,4,525.8918254899982,None,3,9,1,5,4,7,2,6,5,527.1180267519994,None,527.1180267519994,None,527.1180267519994,None,527.1180267519994,None,527.1180267519994,None,527.1180267519994,None,527.1180267519994,None,527.1180267519994,None,527.211236297997,527.7177851579982,527.211236297997,527.7177851579982,527.211236297997,527.7177851579982,None,None,left,1.2200292790003004,527.211236297997,None,None,None,z,0.6578075409997837,528.477466985998,None,529.1571794269985,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,516.2306920629999,1,8,3,6,0,9,2,7,1,1,5,529.743602241997,None,1,8,3,6,0,4,2,7,5,530.9698839459998,None,530.9698839459998,None,530.9698839459998,None,530.9698839459998,None,530.9698839459998,None,530.9698839459998,None,530.9698839459998,None,530.9698839459998,None,531.076417499,531.5829117139983,531.076417499,531.5829117139983,531.076417499,531.5829117139983,None,None,down,2.1388414700013527,531.076417499,None,None,None,x,1.0889666589973785,533.2623154409994,None,534.3685606979998,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,521.4394245059993,0,8,2,7,3,9,1,5,0,0,4,534.9550613729989,None,0,8,2,7,3,9,1,5,0,537.5673549919993,None,537.5673549919993,None,537.5673549919993,None,537.5673549919993,None,537.5673549919993,None,537.5673549919993,None,537.5673549919993,None,537.5673549919993,None,536.2745110309988,536.780973339999,536.2745110309988,536.780973339999,536.2745110309988,536.780973339999,None,None,down,1.087916011998459,537.5673549919993,None,None,None,z,0.5630120649984747,538.700264998999,None,539.2867003199972,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,526.3585941149977,1,6,4,5,3,9,0,8,0,1,0,539.8731938860001,None,2,6,4,5,3,9,0,8,1,542.4855261539997,None,542.4855261539997,None,542.4855261539997,None,542.4855261539997,None,542.4855261539997,None,542.4855261539997,None,542.4855261539997,None,542.4855261539997,None,541.1926150209983,541.6991335860002,541.1926150209983,541.6991335860002,541.1926150209983,541.6991335860002,None,None,down,0.8897609640007431,542.4855261539997,None,None,None,z,0.3568405080004595,543.4184932839999,None,543.7916443899994,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,543.1489919720007,2,7,1,6,0,9,3,5,1,0,5,556.6667665959976,None,2,7,1,6,0,9,3,5,1,557.8929714839978,None,557.8929714839978,None,557.8929714839978,None,557.8929714839978,None,557.8929714839978,None,557.8929714839978,None,557.8929714839978,None,557.8929714839978,None,557.9862925069974,558.4927204589985,557.9862925069974,558.4927204589985,557.9862925069974,558.4927204589985,None,None,left,1.052930314999685,557.9862925069974,None,None,None,z,0.32806790199902025,559.0792137009994,None,559.4257768159987,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,546.4976104800007,4,5,1,8,0,7,2,9,1,0,7,560.0121671359993,None,4,5,1,8,0,7,2,9,1,561.2251003649981,None,561.2251003649981,None,561.2251003649981,None,561.2251003649981,None,561.2251003649981,None,561.2251003649981,None,561.2251003649981,None,561.2251003649981,None,561.3316852659991,561.8382034099996,561.3316852659991,561.8382034099996,561.3316852659991,561.8382034099996,None,None,down,1.7475669600025867,561.3316852659991,None,None,None,x,1.076249767000263,563.1310363439989,None,564.2238963659984,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,551.2973804629983,0,5,2,9,1,6,4,7,1,1,6,564.8103411390002,None,0,5,2,9,1,6,3,7,1,566.0365766109971,None,566.0365766109971,None,566.0365766109971,None,566.0365766109971,None,566.0365766109971,None,566.0365766109971,None,566.0365766109971,None,566.0365766109971,None,566.1298807269995,566.6363837999997,566.1298807269995,566.6363837999997,566.1298807269995,566.6363837999997,None,None,left,1.805385579002177,566.1298807269995,None,None,None,x,0.31276023499958683,567.9825269059984,None,568.3156959929984,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,555.3895628259997,3,5,0,8,1,6,2,7,1,0,2,568.9021966660002,None,3,5,0,8,1,6,2,7,1,570.1283505599968,None,570.1283505599968,None,570.1283505599968,None,570.1283505599968,None,570.1283505599968,None,570.1283505599968,None,570.1283505599968,None,570.1283505599968,None,570.2216677929973,570.7281546259983,570.2216677929973,570.7281546259983,570.2216677929973,570.7281546259983,None,None,left,2.1136117599999125,570.2216677929973,None,None,None,x,0.28245749499910744,572.3808204369998,None,572.687404854998,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,559.7594504289991,4,7,0,5,2,9,3,6,0,0,2,573.2738694209984,None,4,7,0,5,2,9,3,6,2,575.8995326209988,None,575.8995326209988,None,575.8995326209988,None,575.8995326209988,None,575.8995326209988,None,575.8995326209988,None,575.8995326209988,None,575.8995326209988,None,574.5932812799983,575.0997711169985,574.5932812799983,575.0997711169985,574.5932812799983,575.0997711169985,None,None,left,1.5798207629995886,575.8995326209988,None,None,None,z,0.913751719002903,577.5255310209977,None,578.4585071179972,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.75,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,565.5292267789991,1,9,2,5,4,8,3,7,0,1,4,579.0316686089973,None,1,9,2,5,0,8,3,7,3,581.644034555,None,581.644034555,None,581.644034555,None,581.644034555,None,581.644034555,None,581.644034555,None,581.644034555,None,581.644034555,None,580.3511984709985,580.8576494119989,580.3511984709985,580.8576494119989,580.3511984709985,580.8576494119989,None,None,down,1.4352088749983523,581.644034555,None,None,None,x,0.715836371997284,583.1234538089993,None,583.8564669810003,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,570.9305499590009,4,5,0,8,1,7,3,6,1,0,4,584.4429125889983,None,4,5,0,8,1,7,3,6,3,585.6691324719977,None,585.6691324719977,None,585.6691324719977,None,585.6691324719977,None,585.6691324719977,None,585.6691324719977,None,585.6691324719977,None,585.6691324719977,None,585.7758016049993,586.2822266309995,585.7758016049993,586.2822266309995,585.7758016049993,586.2822266309995,None,None,left,1.2714698919990042,585.7758016049993,None,None,None,z,0.9759840799997619,587.095288671997,None,588.0948817279968,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,575.1685599049997,0,6,2,8,1,7,3,5,1,0,0,588.6813088269992,None,0,6,2,8,1,7,3,5,3,589.9075201429987,None,589.9075201429987,None,589.9075201429987,None,589.9075201429987,None,589.9075201429987,None,589.9075201429987,None,589.9075201429987,None,589.9075201429987,None,590.0007938859999,590.5073168919989,590.0007938859999,590.5073168919989,590.0007938859999,590.5073168919989,None,None,down,2.2864888709991646,590.0007938859999,None,None,None,c,0.714003697001317,592.3332694049968,None,593.0662977749998,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
,,,,,,,,,,,,,,,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,580.1382175059989,0,5,4,6,2,9,1,8,1,0,5,593.6528004309985,None,0,5,4,6,2,9,1,8,3,594.878969565998,None,594.878969565998,None,594.878969565998,None,594.878969565998,None,594.878969565998,None,594.878969565998,None,594.878969565998,None,594.878969565998,None,594.9722403779997,595.4787922239993,594.9722403779997,595.4787922239993,594.9722403779997,595.4787922239993,None,None,down,1.2910309930011863,594.9722403779997,None,None,None,x,0.40622271900065243,596.3051376279982,None,596.7315678889972,None,,,,,,,,,110,23,2022_Sep_23_1156,templeton_exp2A_SD,2020.2.10,75.03143235427278,
